ORD;LOGRADOURO;NÚMERO;id_imovel;ZONA;TIPO;STATUS;COMPLEMENTO;RISCO;bairro;PROCESSO;EDITAL;FOTO;LONGITUDE;LATITUDE
182;Rua Olavo Bilac;1519;Rua Olavo Bilac, Número 1519 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005660/2024-64;65-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-65-2024.jpg;-42,80970664;-5,093693821
266;Rua David Caldas;S/Nº;Rua David Caldas, Número S/Nº (Ao lado do nº 796), Bairro Centro - Teresina/PI;Sul;Terreno;Abandonado;(Ao lado do nº 796);;Centro;00027.005745/2024-42;123-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-123-2024.jpg;-42,80977375;-5,09785611
184;Rua Olavo Bilac;1176;Rua Olavo Bilac, Número 1176 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005662/2024-53;67-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-67-2024.jpg;-42,81233575;-5,095298789
217;Rua Firmino Pires;542;Rua Firmino Pires, Número 542 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005696/2024-48;93-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-93-2024.jpg;-42,81399923;-5,097299189
327;Rua Arêa Leão;S/Nº;Rua Arêa Leão, Número S/Nº (Em frente ao nº 812), Bairro Centro - Teresina/PI;Sul;Terreno;Abandonado;(Em frente ao nº 812);;Centro;00027.005800/2024-02;163-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-163-2024.jpg;-42,81066282;-5,085153094
218;Rua Firmino Pires;752;Rua Firmino Pires, Número 752 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005697/2024-92;94-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-94-2024.jpg;-42,81288515;-5,099634776
328;Rua Arêa Leão;S/Nº;Rua Arêa Leão, Número S/Nº (Ao lado do nº 884), Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;(Ao lado do nº 884);;Centro;00027.005801/2024-49;164-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-164-2024.jpg;-42,80554026;-5,095720756
222;Rua Rui Barbosa;519;Rua Rui Barbosa, Número 519 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005698/2024-37;95-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-95-2024.jpg;-42,81327712;-5,096728872
329;Rua Arêa Leão;S/Nº;Rua Arêa Leão, Número S/Nº (Em frente ao nº 901), Bairro Centro - Teresina/PI;Sul;Terreno;Abandonado;(Em frente ao nº 901);;Centro;00027.005802/2024-93;165-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-165-2024.jpg;-42,80534227;-5,096441495
223;Rua Rui Barbosa;884;Rua Rui Barbosa, Número 884 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005699/2024-81;96-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-96-2024.jpg;-42,81202483;-5,099707144
330;Rua Arêa Leão;S/Nº;Rua Arêa Leão, Número S/Nº (Em frente ao nº 909), Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;(Em frente ao nº 909);;Centro;00027.005803/2024-38;166-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-166-2024.jpg;-42,8053386;-5,096500344
331;Rua Arêa Leão;S/Nº;Rua Arêa Leão, Número S/Nº (Em frente ao nº 919), Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;(Em frente ao nº 919);;Centro;00027.005805/2024-27;167-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-167-2024.jpg;-42,80531168;-5,09657768
332;Rua Arêa Leão;934;Rua Arêa Leão, Número 934 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005806/2024-71;168-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-168-2024.jpg;-42,80527349;-5,096635372
334;Rua Anísio de Abreu;S/Nº;Rua Anísio de Abreu, Número S/Nº (Em frente ao nº 530), Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;(Em frente ao nº 530);;Centro;00027.005808/2024-61;170-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-170-2024.jpg;-42,8086793;-5,08657796
400;Avenida Joaquim Ribeiro;S/Nº;Avenida Joaquim Ribeiro, Número S/Nº (Em frente ao nº 1369), Bairro Vermelha - Teresina/PI;Sul;Casa;Abandonado;(Em frente ao nº 1369);;Vermelha;00027.005858/2024-48;218-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-218-2024.jpg;-42,81096067;-5,099604894
335;Rua Anísio de Abreu;S/Nº;Rua Anísio de Abreu, Número S/Nº (Em frente ao nº 540), Bairro Centro - Teresina/PI;Norte;Terreno;Abandonado;(Em frente ao nº 540);;Centro;00027.005809/2024-13;171-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-171-2024.jpg;-42,80998621;-5,084410893
336;Rua Anísio de Abreu;S/Nº;Rua Anísio de Abreu, Número S/Nº (Ao lado do nº 668), Bairro Centro - Teresina/PI;Norte;Terreno;Abandonado;(Ao lado do nº 668);;Centro;00027.005810/2024-30;172-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-172-2024.jpg;-42,81003603;-5,084252201
339;Rua Anísio de Abreu;S/Nº;Rua Anísio de Abreu, Número S/Nº (Em frente ao nº 885), Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;(Em frente ao nº 885);;Centro;00027.005813/2024-73;175-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-175-2024.jpg;-42,81062474;-5,082586708
340;Rua Anísio de Abreu;546;Rua Anísio de Abreu, Número 546 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005814/2024-18;176-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-176-2024.jpg;-42,81128271;-5,081395721
345;Rua Magalhães Filho;S/Nº;Rua Magalhães Filho, Número S/Nº (Ao lado do nº 253), Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;(Ao lado do nº 253);;Centro;00027.005817/2024-51;179-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-179-2024.jpg;-42,80952751;-5,083194971
